pop1	pop2	Fst
AMST	BECA	0.105705242
AMST	BOUV	0.074507948
AMST	CASS	0.099316452
AMST	CROZ	0.063857147
AMST	DAVS	0.097961182
AMST	DEVL	0.083854199
AMST	FKMV	0.111705135
AMST	GEOR	0.065910018
AMST	KERG	0.075151946
AMST	LGTL	0.070624815
AMST	MACQ	0.079108202
AMST	MAGD	0.088691397
AMST	MARI	0.077377904
AMST	MAWS	0.095198617
AMST	ROSS	0.091542447
AMST	SHET	0.064952138
BECA	FKMV	0.059052633
BECA	MAGD	0.007860436
BOUV	BECA	0.05876647
BOUV	CASS	0.057020746
BOUV	DAVS	0.054165514
BOUV	DEVL	0.027137345
BOUV	FKMV	0.080156944
BOUV	GEOR	0.007038072
BOUV	LGTL	0.032268036
BOUV	MAGD	0.05998414
BOUV	MAWS	0.052550009
BOUV	ROSS	0.047820526
BOUV	SHET	0.00548595
CASS	BECA	0.071936218
CASS	DAVS	-0.001527637
CASS	FKMV	0.081519974
CASS	MAGD	0.069017395
CASS	MAWS	-0.000379448
CROZ	BECA	0.072845388
CROZ	BOUV	0.020967117
CROZ	CASS	0.070995061
CROZ	DAVS	0.069275398
CROZ	DEVL	0.04649684
CROZ	FKMV	0.088155222
CROZ	GEOR	0.021574171
CROZ	LGTL	0.0481253
CROZ	MAGD	0.071727853
CROZ	MARI	0.012615585
CROZ	MAWS	0.067666801
CROZ	ROSS	0.064258473
CROZ	SHET	0.023924577
DAVS	BECA	0.068562174
DAVS	FKMV	0.079872117
DAVS	MAGD	0.067701761
DAVS	MAWS	-0.003360324
DEVL	BECA	0.057592377
DEVL	CASS	0.027709233
DEVL	DAVS	0.025510498
DEVL	FKMV	0.075918039
DEVL	LGTL	0.013530847
DEVL	MAGD	0.059815706
DEVL	MAWS	0.023024596
DEVL	ROSS	0.01474838
GEOR	BECA	0.049180544
GEOR	CASS	0.047698519
GEOR	DAVS	0.044618917
GEOR	DEVL	0.030397256
GEOR	FKMV	0.068926205
GEOR	LGTL	0.034288894
GEOR	MAGD	0.057828146
GEOR	MAWS	0.046298597
GEOR	ROSS	0.046045598
GEOR	SHET	0.010808398
KERG	BECA	0.073897963
KERG	BOUV	0.019190464
KERG	CASS	0.073361047
KERG	CROZ	0.005453493
KERG	DAVS	0.070319353
KERG	DEVL	0.042383457
KERG	FKMV	0.095385368
KERG	GEOR	0.015932272
KERG	LGTL	0.048164413
KERG	MAGD	0.074740433
KERG	MARI	0.01865553
KERG	MAWS	0.070600872
KERG	ROSS	0.060988843
KERG	SHET	0.020541667
LGTL	BECA	0.051315033
LGTL	CASS	0.013530258
LGTL	DAVS	0.011491513
LGTL	FKMV	0.063132086
LGTL	MAGD	0.053369247
LGTL	MAWS	0.009649086
LGTL	ROSS	0.011989751
MACQ	BECA	0.080797041
MACQ	BOUV	0.033187205
MACQ	CASS	0.081522564
MACQ	CROZ	0.024525337
MACQ	DAVS	0.079534873
MACQ	DEVL	0.051326082
MACQ	FKMV	0.099785261
MACQ	GEOR	0.03100926
MACQ	KERG	0.017628887
MACQ	LGTL	0.056780983
MACQ	MAGD	0.079942073
MACQ	MARI	0.034471561
MACQ	MAWS	0.078912318
MACQ	ROSS	0.067205223
MACQ	SHET	0.032259401
MAGD	FKMV	0.050711976
MARI	BECA	0.083498684
MARI	BOUV	0.034769396
MARI	CASS	0.080000357
MARI	DAVS	0.077816009
MARI	DEVL	0.05646511
MARI	FKMV	0.100095537
MARI	GEOR	0.029173945
MARI	LGTL	0.056318063
MARI	MAGD	0.08121979
MARI	MAWS	0.077708781
MARI	ROSS	0.070765647
MARI	SHET	0.034389121
MAWS	BECA	0.06882986
MAWS	FKMV	0.079395162
MAWS	MAGD	0.0655297
ROSS	BECA	0.063215846
ROSS	CASS	0.006935414
ROSS	DAVS	0.004251983
ROSS	FKMV	0.0774807
ROSS	MAGD	0.065089991
ROSS	MAWS	0.004529449
SHET	BECA	0.052131212
SHET	CASS	0.04978155
SHET	DAVS	0.047981902
SHET	DEVL	0.025273749
SHET	FKMV	0.069211428
SHET	LGTL	0.031008385
SHET	MAGD	0.056055062
SHET	MAWS	0.046573139
SHET	ROSS	0.043176644
TRIS	AMST	0.008142669
TRIS	BECA	0.105229498
TRIS	BOUV	0.075623523
TRIS	CASS	0.104312319
TRIS	CROZ	0.06638757
TRIS	DAVS	0.103395265
TRIS	DEVL	0.081584694
TRIS	FKMV	0.115258669
TRIS	GEOR	0.07078636
TRIS	KERG	0.071926402
TRIS	LGTL	0.075961387
TRIS	MACQ	0.073393747
TRIS	MAGD	0.092000138
TRIS	MARI	0.076573598
TRIS	MAWS	0.100324877
TRIS	ROSS	0.089724735
TRIS	SHET	0.06745239
