pop1	pop2	Fst
AMST	BECA	0.227544215
AMST	BOUV	0.147116018
AMST	CASS	0.231415939
AMST	CROZ	0.135705996
AMST	DAVS	0.227781206
AMST	DEVL	0.181162737
AMST	FKMV	0.248083078
AMST	GEOR	0.132953164
AMST	KERG	0.147477087
AMST	LGTL	0.176518075
AMST	MACQ	0.155989869
AMST	MAGD	0.208519687
AMST	MARI	0.158915241
AMST	MAWS	0.229282721
AMST	ROSS	0.229676461
AMST	SHET	0.138257576
BECA	FKMV	0.110561197
BECA	MAGD	0.021739119
BOUV	BECA	0.12544569
BOUV	CASS	0.124633186
BOUV	DAVS	0.120939256
BOUV	DEVL	0.061536726
BOUV	FKMV	0.158155738
BOUV	GEOR	0.019188654
BOUV	LGTL	0.075664748
BOUV	MAGD	0.122737111
BOUV	MAWS	0.120730618
BOUV	ROSS	0.118075063
BOUV	SHET	0.016491354
CASS	BECA	0.159037124
CASS	DAVS	0.004344679
CASS	FKMV	0.175859353
CASS	MAGD	0.149406807
CASS	MAWS	0.005193727
CROZ	BECA	0.163280753
CROZ	BOUV	0.042777701
CROZ	CASS	0.164763144
CROZ	DAVS	0.161128817
CROZ	DEVL	0.102066687
CROZ	FKMV	0.194440479
CROZ	GEOR	0.039081029
CROZ	LGTL	0.11309065
CROZ	MAGD	0.15974372
CROZ	MARI	0.026633584
CROZ	MAWS	0.162350842
CROZ	ROSS	0.162078296
CROZ	SHET	0.046903611
DAVS	BECA	0.154354404
DAVS	FKMV	0.172167676
DAVS	MAGD	0.145920604
DAVS	MAWS	0.00039729
DEVL	BECA	0.121777384
DEVL	CASS	0.047971031
DEVL	DAVS	0.044508612
DEVL	FKMV	0.149299134
DEVL	LGTL	0.02257832
DEVL	MAGD	0.118772305
DEVL	MAWS	0.0417047
DEVL	ROSS	0.030908191
GEOR	BECA	0.114419499
GEOR	CASS	0.114295385
GEOR	DAVS	0.109681779
GEOR	DEVL	0.065504697
GEOR	FKMV	0.144947274
GEOR	LGTL	0.074979968
GEOR	MAGD	0.116819166
GEOR	MAWS	0.113275846
GEOR	ROSS	0.115769089
GEOR	SHET	0.020082364
KERG	BECA	0.163032585
KERG	BOUV	0.040607184
KERG	CASS	0.167399825
KERG	CROZ	0.014711818
KERG	DAVS	0.162936192
KERG	DEVL	0.097541274
KERG	FKMV	0.198195257
KERG	GEOR	0.035715898
KERG	LGTL	0.113162027
KERG	MAGD	0.159880034
KERG	MARI	0.039598397
KERG	MAWS	0.16582679
KERG	ROSS	0.159068279
KERG	SHET	0.043326502
LGTL	BECA	0.119956938
LGTL	CASS	0.027773505
LGTL	DAVS	0.023573188
LGTL	FKMV	0.141464689
LGTL	MAGD	0.116495429
LGTL	MAWS	0.022229765
LGTL	ROSS	0.025333333
MACQ	BECA	0.171240328
MACQ	BOUV	0.060992954
MACQ	CASS	0.179223931
MACQ	CROZ	0.045147845
MACQ	DAVS	0.175726326
MACQ	DEVL	0.1103415
MACQ	FKMV	0.206310385
MACQ	GEOR	0.056231954
MACQ	KERG	0.03608976
MACQ	LGTL	0.126468949
MACQ	MAGD	0.168904624
MACQ	MARI	0.066220554
MACQ	MAWS	0.17754047
MACQ	ROSS	0.168394934
MACQ	SHET	0.060822281
MAGD	FKMV	0.099416749
MARI	BECA	0.184928844
MARI	BOUV	0.067679201
MARI	CASS	0.184832128
MARI	DAVS	0.18099475
MARI	DEVL	0.123364572
MARI	FKMV	0.215479726
MARI	GEOR	0.058480578
MARI	LGTL	0.132515082
MARI	MAGD	0.179261536
MARI	MAWS	0.183688028
MARI	ROSS	0.180392152
MARI	SHET	0.069099199
MAWS	BECA	0.156761082
MAWS	FKMV	0.174137788
MAWS	MAGD	0.146051395
ROSS	BECA	0.1538796
ROSS	CASS	0.017867708
ROSS	DAVS	0.013411491
ROSS	FKMV	0.175967946
ROSS	MAGD	0.147776268
ROSS	MAWS	0.013166321
SHET	BECA	0.116204062
SHET	CASS	0.112091786
SHET	DAVS	0.108639587
SHET	DEVL	0.05564899
SHET	FKMV	0.14587875
SHET	LGTL	0.068778034
SHET	MAGD	0.116741118
SHET	MAWS	0.108988417
SHET	ROSS	0.107262993
TRIS	AMST	0.015569777
TRIS	BECA	0.229400318
TRIS	BOUV	0.148955172
TRIS	CASS	0.239252982
TRIS	CROZ	0.138969488
TRIS	DAVS	0.235946855
TRIS	DEVL	0.180080589
TRIS	FKMV	0.254407295
TRIS	GEOR	0.13839324
TRIS	KERG	0.144910653
TRIS	LGTL	0.183293652
TRIS	MACQ	0.150739419
TRIS	MAGD	0.213406401
TRIS	MARI	0.159097587
TRIS	MAWS	0.236913123
TRIS	ROSS	0.229581338
TRIS	SHET	0.141446729
TRIS	TRIS	
FKMV	FKMV	
