pop1	pop2	Fst
ANTC	NAPF	0.05639353465514748790
ANTC	NSTF	0.07403055916154404184
ANTC	SAPF	0.04169896523311682057
ANTP	ANTC	0.01408507071693444461
ANTP	NAPF	0.04109852677622862279
ANTP	NSTF	0.06589111337662452223
ANTP	SAPF	0.02243139982317257493
CHIL	ANTC	0.05829391586091009102
CHIL	ANTP	0.04760215568891473180
CHIL	FKLD	0.04782640670964511485
CHIL	NAPF	0.06344712239273511875
CHIL	NSTF	0.08788615201930529832
CHIL	SAPF	0.04575333140613780691
FKLD	ANTC	0.06248451557819201176
FKLD	ANTP	0.05393056585059602788
FKLD	NAPF	0.07482230815897022366
FKLD	NSTF	0.11494315096905215312
FKLD	SAPF	0.05071457594469999849
NSTF	NAPF	0.05152313928639525353
SAPF	NAPF	0.01944014046976590242
SAPF	NSTF	0.05220748431252424263
