pop1	pop2	Fst
ANTC	NAPF	0.15604761466200036839
ANTC	NSTF	0.21731448437823774549
ANTC	SAPF	0.10710141590882928513
ANTP	ANTC	0.02345627849150435142
ANTP	NAPF	0.09979993093127662023
ANTP	NSTF	0.17234086147754218753
ANTP	SAPF	0.05520064464141821112
CHIL	ANTC	0.14353603499884872208
CHIL	ANTP	0.10875857623060275360
CHIL	FKLD	0.09497133251974487093
CHIL	NAPF	0.15104234302687020791
CHIL	NSTF	0.20991780254190458648
CHIL	SAPF	0.10549418671578220329
FKLD	ANTC	0.16547775833486829987
FKLD	ANTP	0.13358251220186020812
FKLD	NAPF	0.18191370815490168992
FKLD	NSTF	0.25452912733133778494
FKLD	SAPF	0.13007136608499470509
NSTF	NAPF	0.12262156934978817461
SAPF	NAPF	0.03252584321399792793
SAPF	NSTF	0.12312399281734886504
CHIL	CHIL	
NAPF	NAPF	
